trial_index subject_id group condition task item_type category image_id distinct_rating distinct_type good_subj
39 1012 2 0 0 0 9 129 3.25 0 0
40 1012 2 0 0 0 3 47 3.05 0 0
41 1012 2 0 0 0 7 107 7.11 1 0
42 1012 2 0 0 0 29 452 1.8 0 0
43 1012 2 0 0 0 4 50 2.73 0 0
44 1012 2 0 0 0 25 400 1.71 0 0
45 1012 2 0 0 0 13 207 3.11 0 0
46 1012 2 0 0 0 13 206 3.41 0 0
47 1012 2 0 0 0 30 471 2.73 0 0
48 1012 2 0 0 0 2 24 2.31 0 0
49 1012 2 0 0 0 25 391 1.73 0 0
50 1012 2 0 0 0 30 466 2.9 0 0
1 1033 2 0 0 0 15 226 3.2 0 1
2 1033 2 0 0 0 9 142 3.22 0 1
