trial_index,subject_id,group,task,item_type,category_name,category,broad_category,image_png,image_id,distinct_rating,good_subj
145,90229,Group2,memory_phase,,Gneiss,13,M,M_Gneiss_08.png,200,3.69,True
147,90229,Group2,memory_phase,,Obsidian,6,I,I_Obsidian_12.png,92,5.7,True
149,90229,Group2,memory_phase,,Slate,20,M,M_Slate_09.png,313,3.6,True
151,90229,Group2,memory_phase,,Anthracite,12,M,M_Anthracite_04.png,180,6.25,True
153,90229,Group2,memory_phase,,Gabbro,4,I,I_Gabbro_07.png,55,4.29,True
155,90229,Group2,memory_phase,,Migmatite,16,M,M_Migmatite_15.png,255,5.37,True
157,90229,Group2,memory_phase,,Chert,23,S,S_Chert_11.png,363,7.12,True
159,90229,Group2,memory_phase,,Breccia,22,S,S_Breccia_03.png,339,5.07,True
161,90229,Group2,memory_phase,,Rock Salt,28,S,S_Rock Salt_04.png,436,7.89,True
163,90229,Group2,memory_phase,,Sandstone,29,S,S_Sandstone_07.png,455,5.02,True
165,90229,Group2,memory_phase,,Micrite,26,S,S_Micrite_11.png,411,1.87,True
167,90229,Group2,memory_phase,,Pegmatite,7,I,I_Pegmatite_13.png,109,5.15,True
169,90229,Group2,memory_phase,,Bituminous Coal,21,S,S_Bituminous Coal_04.png,324,4.93,True
171,90229,Group2,memory_phase,,Rock Gypsum,27,S,S_Rock Gypsum_08.png,424,5.57,True
173,90229,Group2,memory_phase,,Phyllite,17,M,M_Phyllite_07.png,263,2.59,True
175,90229,Group2,memory_phase,,Rhyolite,10,I,I_Rhyolite_06.png,150,5.0,True
177,90229,Group2,memory_phase,,Dolomite,25,S,S_Dolomite_03.png,387,3.42,True
179,90229,Group2,memory_phase,,Sandstone,29,S,S_Sandstone_10.png,458,2.05,True
181,90229,Group2,memory_phase,,Peridotite,8,I,I_Peridotite_13.png,125,7.28,True
183,90229,Group2,memory_phase,,Gneiss,13,M,M_Gneiss_12.png,204,4.52,True
185,90229,Group2,memory_phase,,Rock Salt,28,S,S_Rock Salt_02.png,434,5.13,True
187,90229,Group2,memory_phase,,Amphibolite,11,M,M_Amphibolite_05.png,165,3.59,True
189,90229,Group2,memory_phase,,Slate,20,M,M_Slate_15.png,319,2.13,True
191,90229,Group2,memory_phase,,Rock Gypsum,27,S,S_Rock Gypsum_05.png,421,3.48,True
193,90229,Group2,memory_phase,,Diorite,3,I,I_Diorite_09.png,41,4.38,True
195,90229,Group2,memory_phase,,Rhyolite,10,I,I_Rhyolite_02.png,146,3.26,True
197,90229,Group2,memory_phase,,Anthracite,12,M,M_Anthracite_05.png,181,4.71,True
200,90229,Group2,memory_phase,,Dolomite,25,S,S_Dolomite_16.png,400,1.71,True
202,90229,Group2,memory_phase,,Phyllite,17,M,M_Phyllite_04.png,260,4.37,True
204,90229,Group2,memory_phase,,Quartzite,18,M,M_Quartzite_10.png,282,3.75,True
206,90229,Group2,memory_phase,,Schist,19,M,M_Schist_07.png,295,4.2,True
208,90229,Group2,memory_phase,,Basalt,2,I,I_Basalt_06.png,22,2.08,True
210,90229,Group2,memory_phase,,Granite,5,I,I_Granite_03.png,67,3.6,True
