image_id,Broad_Category_Name,Category,Category_Name,Item,Distinct_Rating,Group1,Group2,image_png
282,M,18,Quartzite,10,3.75,Foil,Target,M_Quartzite_10.png
278,M,18,Quartzite,6,3.63,Target,Foil,M_Quartzite_06.png
286,M,18,Quartzite,14,3.3,Foil,Target,M_Quartzite_14.png
276,M,18,Quartzite,4,3.06,Target,Foil,M_Quartzite_04.png
274,M,18,Quartzite,2,2.52,Foil,Target,M_Quartzite_02.png
273,M,18,Quartzite,1,2.3,Target,Foil,M_Quartzite_01.png
287,M,18,Quartzite,15,2.19,Foil,Target,M_Quartzite_15.png
280,M,18,Quartzite,8,2.15,Target,Foil,M_Quartzite_08.png
296,M,19,Schist,8,6.46,Target,Foil,M_Schist_08.png
299,M,19,Schist,11,6.22,Foil,Target,M_Schist_11.png
300,M,19,Schist,12,4.27,Target,Foil,M_Schist_12.png
295,M,19,Schist,7,4.2,Foil,Target,M_Schist_07.png
293,M,19,Schist,5,3.66,Target,Foil,M_Schist_05.png
292,M,19,Schist,4,3.63,Foil,Target,M_Schist_04.png
301,M,19,Schist,13,3.37,Target,Foil,M_Schist_13.png
297,M,19,Schist,9,3.31,Foil,Target,M_Schist_09.png
313,M,20,Slate,9,3.6,Foil,Target,M_Slate_09.png
311,M,20,Slate,7,3.48,Target,Foil,M_Slate_07.png
306,M,20,Slate,2,2.88,Foil,Target,M_Slate_02.png
310,M,20,Slate,6,2.86,Target,Foil,M_Slate_06.png
318,M,20,Slate,14,2.58,Foil,Target,M_Slate_14.png
320,M,20,Slate,16,2.55,Target,Foil,M_Slate_16.png
319,M,20,Slate,15,2.13,Foil,Target,M_Slate_15.png
314,M,20,Slate,10,1.94,Target,Foil,M_Slate_10.png
333,S,21,Bituminous Coal,13,5.06,Target,Foil,S_Bituminous Coal_13.png
324,S,21,Bituminous Coal,4,4.93,Foil,Target,S_Bituminous Coal_04.png
334,S,21,Bituminous Coal,14,4.51,Target,Foil,S_Bituminous Coal_14.png
336,S,21,Bituminous Coal,16,4.3,Foil,Target,S_Bituminous Coal_16.png
328,S,21,Bituminous Coal,8,3.92,Target,Foil,S_Bituminous Coal_08.png
331,S,21,Bituminous Coal,11,3.71,Foil,Target,S_Bituminous Coal_11.png
330,S,21,Bituminous Coal,10,3.47,Target,Foil,S_Bituminous Coal_10.png
326,S,21,Bituminous Coal,6,3.4,Foil,Target,S_Bituminous Coal_06.png
337,S,22,Breccia,1,7.35,Foil,Target,S_Breccia_01.png
344,S,22,Breccia,8,7.14,Target,Foil,S_Breccia_08.png
341,S,22,Breccia,5,6.25,Foil,Target,S_Breccia_05.png
343,S,22,Breccia,7,6.19,Target,Foil,S_Breccia_07.png
349,S,22,Breccia,13,5.56,Foil,Target,S_Breccia_13.png
351,S,22,Breccia,15,5.43,Target,Foil,S_Breccia_15.png
339,S,22,Breccia,3,5.07,Foil,Target,S_Breccia_03.png
348,S,22,Breccia,12,5.03,Target,Foil,S_Breccia_12.png
362,S,23,Chert,10,7.17,Target,Foil,S_Chert_10.png
363,S,23,Chert,11,7.12,Foil,Target,S_Chert_11.png
368,S,23,Chert,16,5.43,Target,Foil,S_Chert_16.png
355,S,23,Chert,3,5.3,Foil,Target,S_Chert_03.png
361,S,23,Chert,9,4.92,Target,Foil,S_Chert_09.png
366,S,23,Chert,14,4.5,Foil,Target,S_Chert_14.png
364,S,23,Chert,12,4.06,Target,Foil,S_Chert_12.png
354,S,23,Chert,2,3.81,Foil,Target,S_Chert_02.png
373,S,24,Conglomerate,5,7.32,Foil,Target,S_Conglomerate_05.png
375,S,24,Conglomerate,7,6.97,Target,Foil,S_Conglomerate_07.png
381,S,24,Conglomerate,13,6.48,Foil,Target,S_Conglomerate_13.png
384,S,24,Conglomerate,16,6.38,Target,Foil,S_Conglomerate_16.png
372,S,24,Conglomerate,4,5.91,Foil,Target,S_Conglomerate_04.png
378,S,24,Conglomerate,10,5.63,Target,Foil,S_Conglomerate_10.png
376,S,24,Conglomerate,8,4.83,Foil,Target,S_Conglomerate_08.png
371,S,24,Conglomerate,3,4.73,Target,Foil,S_Conglomerate_03.png
395,S,25,Dolomite,11,5.56,Target,Foil,S_Dolomite_11.png
386,S,25,Dolomite,2,5.49,Foil,Target,S_Dolomite_02.png
394,S,25,Dolomite,10,3.57,Target,Foil,S_Dolomite_10.png
387,S,25,Dolomite,3,3.42,Foil,Target,S_Dolomite_03.png
393,S,25,Dolomite,9,2.11,Target,Foil,S_Dolomite_09.png
388,S,25,Dolomite,4,1.93,Foil,Target,S_Dolomite_04.png
391,S,25,Dolomite,7,1.73,Target,Foil,S_Dolomite_07.png
400,S,25,Dolomite,16,1.71,Foil,Target,S_Dolomite_16.png
405,S,26,Micrite,5,8.21,Foil,Target,S_Micrite_05.png
403,S,26,Micrite,3,4.0,Target,Foil,S_Micrite_03.png
412,S,26,Micrite,12,3.14,Foil,Target,S_Micrite_12.png
401,S,26,Micrite,1,2.94,Target,Foil,S_Micrite_01.png
414,S,26,Micrite,14,2.42,Foil,Target,S_Micrite_14.png
415,S,26,Micrite,15,2.28,Target,Foil,S_Micrite_15.png
411,S,26,Micrite,11,1.87,Foil,Target,S_Micrite_11.png
407,S,26,Micrite,7,1.85,Target,Foil,S_Micrite_07.png
420,S,27,Rock Gypsum,4,7.61,Target,Foil,S_Rock Gypsum_04.png
430,S,27,Rock Gypsum,14,7.01,Foil,Target,S_Rock Gypsum_14.png
425,S,27,Rock Gypsum,9,6.03,Target,Foil,S_Rock Gypsum_09.png
424,S,27,Rock Gypsum,8,5.57,Foil,Target,S_Rock Gypsum_08.png
429,S,27,Rock Gypsum,13,4.94,Target,Foil,S_Rock Gypsum_13.png
427,S,27,Rock Gypsum,11,4.73,Foil,Target,S_Rock Gypsum_11.png
417,S,27,Rock Gypsum,1,3.97,Target,Foil,S_Rock Gypsum_01.png
421,S,27,Rock Gypsum,5,3.48,Foil,Target,S_Rock Gypsum_05.png
436,S,28,Rock Salt,4,7.89,Foil,Target,S_Rock Salt_04.png
447,S,28,Rock Salt,15,7.79,Target,Foil,S_Rock Salt_15.png
433,S,28,Rock Salt,1,7.18,Foil,Target,S_Rock Salt_01.png
441,S,28,Rock Salt,9,7.08,Target,Foil,S_Rock Salt_09.png
448,S,28,Rock Salt,16,6.23,Foil,Target,S_Rock Salt_16.png
444,S,28,Rock Salt,12,5.86,Target,Foil,S_Rock Salt_12.png
434,S,28,Rock Salt,2,5.13,Foil,Target,S_Rock Salt_02.png
443,S,28,Rock Salt,11,4.9,Target,Foil,S_Rock Salt_11.png
453,S,29,Sandstone,5,5.42,Target,Foil,S_Sandstone_05.png
455,S,29,Sandstone,7,5.02,Foil,Target,S_Sandstone_07.png
457,S,29,Sandstone,9,3.66,Target,Foil,S_Sandstone_09.png
461,S,29,Sandstone,13,2.94,Foil,Target,S_Sandstone_13.png
450,S,29,Sandstone,2,2.09,Target,Foil,S_Sandstone_02.png
458,S,29,Sandstone,10,2.05,Foil,Target,S_Sandstone_10.png
451,S,29,Sandstone,3,1.86,Target,Foil,S_Sandstone_03.png
459,S,29,Sandstone,11,1.82,Foil,Target,S_Sandstone_11.png
470,S,30,Shale,6,4.11,Foil,Target,S_Shale_06.png
475,S,30,Shale,11,4.05,Target,Foil,S_Shale_11.png
471,S,30,Shale,7,2.73,Foil,Target,S_Shale_07.png
465,S,30,Shale,1,2.7,Target,Foil,S_Shale_01.png
472,S,30,Shale,8,2.55,Foil,Target,S_Shale_08.png
476,S,30,Shale,12,2.48,Target,Foil,S_Shale_12.png
467,S,30,Shale,3,1.95,Foil,Target,S_Shale_03.png
474,S,30,Shale,10,1.91,Target,Foil,S_Shale_10.png
